Activity Compose,1.9.3,license_apache20,Apache 2.0
Android For Cars App,1.4.0,license_apache20,Apache 2.0
AppCompat,1.7.0,license_apache20,Apache 2.0
Compose Graphics,1.7.6,license_apache20,Apache 2.0
Compose Material3 Components,1.3.1,license_apache20,Apache 2.0
Compose Navigation,2.8.3,license_apache20,Apache 2.0
Compose Tooling,1.7.6,license_apache20,Apache 2.0
Compose UI,1.7.6,license_apache20,Apache 2.0
Core Kotlin Extensions,1.10.1,license_apache20,Apache 2.0
Jetpack Compose Libraries BOM,2024.04.01,license_apache20,Apache 2.0
Jsoup Java HTML Parser,1.15.3,license_jsoup,MIT License
Lifecycle Kotlin Extensions,2.8.7,license_apache20,Apache 2.0
Material Symbols / Material Icons,4.0.0,license_apache20,Apache 2.0
Navigation Runtime Kotlin Extensions,2.8.3,license_apache20,Apache 2.0
SplashScreen,1.0.1,license_apache20,Apache 2.0